"Account # 5PD19713 Account History"
"Transaction Type=ALL; Symbol=; Time Range=Dec 01 2016 to Apr 01 2017"
TransactionID, Date, Time,Type,Description,Strike,Type,Side,Quantity,Symbol,Price per unit,Underlier Symbol,Fee,Commission,Amount,Security Type, Expiration Date,Security Description,Open or Close,Deliverables,Market Statistics, Trade Journal notes
"1000060468842","28-Mar-2017","09:30:01","Trade","Bought 7 GPRO Apr17 9 put (GPROP2117C009000) @ $.88","9.000000","PUT","BUY","7.0000000000","GPROP2117C009000","0.8800000000000","GPRO","0.3000","13.5500","-629.8500","Option","21-Apr-2017","GoPro Ord Shs Class A","CLOSE","GPRO GPRO 100.0 100 null null  GPRO : 100","",""
"1000060468850","28-Mar-2017","09:30:01","Trade","Sold 7 GPRO May17 9 put (GPROQ1917C009000) @ $1.23","9.000000","PUT","SELL","7.0000000000","GPROQ1917C009000","1.2300000000000","GPRO","0.3300","1.0500","859.6200","Option","19-May-2017","GoPro Ord Shs Class A","OPEN","GPRO GPRO 100.0 100 null null  GPRO : 100","",""
"0","23-Mar-2017","20:42:22","Journal","MARCH CREDIT INTEREST         ","0","","","","","","","0","0.0000","0.1700","","","","","","",""
"1000059765931","14-Mar-2017","10:17:03","Trade","Bought 4 SHLD Mar17 11 put (SHLDO1717C011000) @ $1.94","11.000000","PUT","BUY","4.0000000000","SHLDO1717C011000","1.9400000000000","SHLD","0.1700","13.1000","-789.2700","Option","17-Mar-2017","Sears Holdings Ord Shs","CLOSE","SHLD SHLD 100.0 100 null null  SHLD : 100","",""
"1000059765932","14-Mar-2017","10:17:03","Trade","Sold 1 SHLD Jun17 10 put (SHLDR1617C010000) @ $2.57","10.000000","PUT","SELL","1.0000000000","SHLDR1617C010000","2.5700000000000","SHLD","0.0600","0.1500","256.7900","Option","16-Jun-2017","Sears Holdings Ord Shs","OPEN","SHLD SHLD 100.0 100 null null  SHLD : 100","",""
"1000059765934","14-Mar-2017","10:17:03","Trade","Sold 4 SHLD Jun17 10 put (SHLDR1617C010000) @ $2.56","10.000000","PUT","SELL","4.0000000000","SHLDR1617C010000","2.5600000000000","SHLD","0.2100","0.6000","1023.1900","Option","16-Jun-2017","Sears Holdings Ord Shs","OPEN","SHLD SHLD 100.0 100 null null  SHLD : 100","",""
"1000059231289","02-Mar-2017","12:23:41","Trade","Bought 9 GES Mar17 15 put (GESO1717C015000) @ $2.41","15.000000","PUT","BUY","9.0000000000","GESO1717C015000","2.4100000000000","GES","0.3900","13.8500","-2183.2400","Option","17-Mar-2017","Guess Ord Shs","CLOSE","GES GES 100.0 100 null null  GES : 100","",""
"1000059231291","02-Mar-2017","12:23:41","Trade","Sold 9 GES Jun17 15 put (GESR1617C015000) @ $3.01","15.000000","PUT","SELL","9.0000000000","GESR1617C015000","3.0100000000000","GES","0.4700","1.3500","2707.1800","Option","16-Jun-2017","Guess Ord Shs","OPEN","GES GES 100.0 100 null null  GES : 100","",""
"1000059227504","02-Mar-2017","11:53:12","Trade","Bought 6 ANF Mar17 13 put (ANFO1717C013000) @ $0.45","13.000000","PUT","BUY","6.0000000000","ANFO1717C013000","0.4500000000000","ANF","0.2600","13.4000","-283.6600","Option","17-Mar-2017","Abercrombie and Fitch Ord Class A","CLOSE","ANF ANF 100.0 100 null null  ANF : 100","",""
"1000059227505","02-Mar-2017","11:53:12","Trade","Sold 6 ANF May17 13 put (ANFQ1917C013000) @ $1.05","13.000000","PUT","SELL","6.0000000000","ANFQ1917C013000","1.0500000000000","ANF","0.2900","0.9000","628.8100","Option","19-May-2017","Abercrombie and Fitch Ord Class A","OPEN","ANF ANF 100.0 100 null null  ANF : 100","",""
